千代田区,4,目黒区,墨田区,台東区,千代田区,1
中央区,2,港区,中央区,豊島区,葛飾区,2
港区,2,板橋区,港区,品川区,練馬区,3
新宿区,1,新宿区,北区,江戸川区,足立区,4
文京区,4,目黒区,江東区,板橋区,文京区,5
台東区,2,中野区,台東区,目黒区,荒川区,6
墨田区,3,江戸川区,葛飾区,墨田区,中野区,7
江東区,1,江東区,葛飾区,目黒区,豊島区,8
品川区,4,荒川区,中央区,渋谷区,品川区,9
目黒区,2,江戸川区,目黒区,荒川区,中央区,10
大田区,1,大田区,台東区,目黒区,荒川区,11
世田谷区,2,目黒区,世田谷区,中央区,台東区,12
渋谷区,3,新宿区,中央区,渋谷区,目黒区,13
中野区,1,中野区,目黒区,渋谷区,台東区,14
杉並区,2,葛飾区,杉並区,中央区,目黒区,15
豊島区,3,目黒区,墨田区,豊島区,新宿区,16
北区,2,品川区,北区,目黒区,江戸川区,17
荒川区,3,目黒区,文京区,荒川区,豊島区,18
板橋区,1,板橋区,目黒区,葛飾区,中央区,19
練馬区,2,中央区,練馬区,葛飾区,目黒区,20
足立区,3,目黒区,渋谷区,足立区,東京台東区,21
葛飾区,4,港区,文京区,目黒区,葛飾区,22
江戸川区,2,中野区,江戸川区,目黒区,墨田区,23
