八王子市,3,東大和市,武蔵村山市,八王子市,福生市,t1
立川市,3,国立市,羽村市,立川市,武蔵野市,t2
武蔵野市,3,小平市,狛江市,武蔵野市,国分寺市,t3
三鷹市,4,昭島市,国分寺市,あきる野市,三鷹市,t4
青梅市,2,小金井市,青梅市,東大和市,府中市,t5
府中市,4,立川市,福生市,東久留米市,府中市,t6
昭島市,2,日野市,昭島市,多摩市,稲城市,t7
調布市,2,稲城市,調布市,東大和市,国分寺市,t8
町田市,3,狛江市,武蔵村山市,町田市,福生市,t9
小金井市,4,福生市,あきる野市,羽村市,小金井市,t10
小平市,1,小平市,国立市,東久留米市,あきる野市,t11
日野市,2,狛江市,日野市,羽村市,町田市,t12
東村山市,2,多摩市,東村山市,福生市,府中市,t13
国分寺市,2,東久留米市,国分寺市,調布市,武蔵村山市,t14
国立市,2,立川市,国立市,多摩市,清瀬市,t15
福生市,3,府中市,調布市,福生市,羽村市,t16
狛江市,1,狛江市,多摩市,国分寺市,三鷹市,t17
東大和市,2,多摩市,東大和市,稲城市,清瀬市,t18
清瀬市,1,清瀬市,府中市,西東京市,稲城市,t19
東久留米市,2,小金井市,東久留米市,府中市,狛江市,t20
武蔵村山市,2,国立市,武蔵村山市,日野市,西東京市,t21
多摩市,2,武蔵野市,多摩市,三鷹市,昭島市,t22
稲城市,1,稲城市,東大和市,国分寺市,小平市,t23
羽村市,2,国立市,羽村市,町田,西東京市,t24
あきる野市,2,三鷹市,あきる野市,昭島市,日野市,t25
西東京市,4,羽村市,八王子市,青梅市,西東京市,t26
瑞穂町,1,瑞穂町,稲城市,多摩市,福生市,t27
日の出町,4,武蔵村山市,調布市,小平市,日の出町,t28
檜原村,1,檜原村,東久留米市,狛江市,日野市,t29
奥多摩町,3,小金井市,多摩市,奥多摩町,町田市,t30
千代田区,4,目黒区,墨田区,台東区,千代田区,n1
中央区,2,港区,中央区,豊島区,葛飾区,n2
港区,2,板橋区,港区,品川区,練馬区,n3
新宿区,1,新宿区,北区,江戸川区,足立区,n4
文京区,4,目黒区,江東区,板橋区,文京区,n5
台東区,2,中野区,台東区,目黒区,荒川区,n6
墨田区,3,江戸川区,葛飾区,墨田区,中野区,n7
江東区,1,江東区,葛飾区,目黒区,豊島区,n8
品川区,4,荒川区,中央区,渋谷区,品川区,n9
目黒区,2,江戸川区,目黒区,荒川区,中央区,n10
大田区,1,大田区,台東区,目黒区,荒川区,n11
世田谷区,2,目黒区,世田谷区,中央区,台東区,n12
渋谷区,3,新宿区,中央区,渋谷区,目黒区,n13
中野区,1,中野区,目黒区,渋谷区,台東区,n14
杉並区,2,葛飾区,杉並区,中央区,目黒区,n15
豊島区,3,目黒区,墨田区,豊島区,新宿区,n16
北区,2,品川区,北区,目黒区,江戸川区,n17
荒川区,3,目黒区,文京区,荒川区,豊島区,n18
板橋区,1,板橋区,目黒区,葛飾区,中央区,n19
練馬区,2,中央区,練馬区,葛飾区,目黒区,n20
足立区,3,目黒区,渋谷区,足立区,東京台東区,n21
葛飾区,4,港区,文京区,目黒区,葛飾区,n22
江戸川区,2,中野区,江戸川区,目黒区,墨田区,n23
